dataset_partition,condition,shift_family,severity,method,accuracy,nll,brier,ece,mce,mean_confidence
test,shifted,contrast_scale,0.8,adaptive_temperature,0.9407407407407408,0.1909634816647998,0.08207433884766822,0.060290462762225216,0.4507191114582577,0.9005927017599977
test,shifted,contrast_scale,0.65,uncalibrated,0.9444444444444444,0.20717562578534907,0.08715936599297823,0.07038733386591478,0.7074911422711235,0.8865117309283194
test,shifted,contrast_scale,0.65,scalar_temperature,0.9444444444444444,0.23476227592559598,0.09445461359142766,0.09497130743029508,0.3950860214108103,0.8596156158423816
test,shifted,contrast_scale,0.65,adaptive_temperature,0.9444444444444444,0.23995977697501544,0.09630316286673297,0.09805231343574061,0.7463703110721842,0.8542599413460601
test,shifted,contrast_scale,0.5,uncalibrated,0.9444444444444444,0.28708064463713356,0.11253635039901291,0.1337545223370453,0.32719460961256447,0.8166118569434984
test,shifted,contrast_scale,0.5,scalar_temperature,0.9444444444444444,0.33623449449911313,0.12939526997322287,0.16776898597129072,0.36800460090345577,0.7766754584731538
test,shifted,contrast_scale,0.5,adaptive_temperature,0.9444444444444444,0.3497065181183316,0.13518456118318614,0.17846484821931316,0.41793835187913764,0.7673993662897534
test,shifted,contrast_scale,0.35,uncalibrated,0.9407407407407408,0.4849534450996198,0.19211630848981415,0.26598490772406597,0.4233269067412248,0.6747558330166747
test,shifted,contrast_scale,0.35,scalar_temperature,0.9407407407407408,0.5649202242609013,0.22740997269940932,0.31889155944298214,0.46992053645229703,0.6218491812977587
test,shifted,contrast_scale,0.35,adaptive_temperature,0.9407407407407408,0.6001457323786172,0.24380234883980628,0.3377803407494128,0.5123808633246918,0.602960399991328
test,shifted,blur,1.0,uncalibrated,0.9222222222222223,0.3321151992439988,0.14709380906395894,0.10490898856624555,0.40468875346962385,0.8210406389465936
test,shifted,blur,1.0,scalar_temperature,0.9222222222222223,0.3689662020950269,0.159711708656599,0.13892376999047876,0.47609037685783956,0.7868054616930789
test,shifted,blur,1.0,adaptive_temperature,0.9222222222222223,0.38102955253908916,0.16500234776970485,0.14816815082347445,0.4948335728499336,0.7773352780001592
test,shifted,blur,2.0,uncalibrated,0.8333333333333334,0.6464979588796387,0.2991459131605768,0.18454341731470789,0.300427198331083,0.6507686677569584
test,shifted,blur,2.0,scalar_temperature,0.8333333333333334,0.7036248288373906,0.3214178082798616,0.22920647889439358,0.4223727505840312,0.6075665922651932
test,shifted,blur,2.0,adaptive_temperature,0.8333333333333334,0.7349672790372486,0.3335154306814694,0.24718897558731964,0.38358913565789055,0.5895074133114477
